Sample ID, Description
NPL-4-0.25-Ag, 
NPL-4-0.5-Ag, 
NPL-4-0.75-Ag, 
NPL-4-1-Ag, 
NPL-4-1.25-Ag, 
NPL-4-1.5-Ag, 
NPL-4-1.75-Ag, 
NPL-4-2-Ag, 
NPL-4-3-Ag, 
