Sample ID, Description, Type
NPL-4-0.25-Ag, , Sample
NPL-4-0.5-Ag, , Sample
NPL-4-0.75-Ag, , Sample
NPL-4-1-Ag, , Sample
NPL-4-1.25-Ag, , Sample
NPL-4-1.5-Ag, , Sample
NPL-4-1.75-Ag, , Sample
NPL-4-2-Ag, , Sample
NPL-4-3-Ag, , Sample
