Sample ID, Description
NPL-17 Pre- Doping 100x , 
NPL-17 1% 30x , 
NPL-17 5% 30x , 
NPL-17 0.5% 30x , 
NPL-17 1% 2nd Sample 30x, 
NPL-17 0.75% 30 x, 
CdSe-525-5 5-3-23 , 
