Sample ID, Description, Type
NPL-17 Pre- Doping 100x , , Sample
NPL-17 1% 30x , , Sample
NPL-17 5% 30x , , Sample
NPL-17 0.5% 30x , , Sample
NPL-17 1% 2nd Sample 30x, , Sample
NPL-17 0.75% 30 x, , Sample
CdSe-525-5 5-3-23 , , Sample
