Sample ID, Description, Type
NPL-17 Pre Doping, , Sample
NPL-17 1% 100x, , Sample
NPL-17 1% 30x, , Sample
NPL-17 5% 30x, , Sample
NPL-17 0.5% 30x, , Sample
NPL-17 0.25% 30x, , Sample
