Sample ID, Description
NPL- 11 Pre Doping Stock, 
NPL -10 For Cavity , 
NPL 0.5 mL +3.5 mL hexane stock 7x dilution - 30x cuvette-3mL, 
NPL+hexane +230uLMet+H2O, 
NPl-11-0.5% Ag -30x cuvette-3 mL , 
NPL- 11-1% Ag , 
NPL-11 2% Ag, 
NPL-11 3% Ag, 
NPL-11 5% Ag , 
