,Dimension1(nm),Dimension2(nm),Dilution(OD),Nano_stock_vol,Ag_acet_conc,Ag_acet_mass,Doping%,Time,Temperature,label
23,31.63,13.8,0.12,0.5,0.006,14.0,0.5,60,25,0.363978915859598
24,31.63,13.8,0.12,0.5,0.006,14.0,1.0,60,25,0.29101175126406026
25,31.63,13.8,0.12,0.5,0.006,14.0,5.0,60,25,0.18605568260936303
26,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10,0,0.18035723586059224
27,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10,25,1.1283350591476104e-08
28,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,10,50,0.16278869217836134
29,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60,0,1.1265608371843353e-08
30,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60,25,0.09417157793938823
31,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,60,50,0.09798036555394309
32,36.27,6.52,0.12,0.5,0.0007,3.5,3.0,180,25,0.08221791246399132
33,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10,0,0.2468866643908369
34,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10,25,0.05650850351094588
35,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,10,50,0.2738430329178065
36,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60,0,0.30819277035616643
37,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60,25,0.24876931463543495
38,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,60,50,0.3661359975066579
39,36.27,6.52,0.12,0.5,0.0007,3.5,10.0,180,25,6.0084323984546674e-09
40,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10,0,5.376082341012849e-23
41,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10,25,3.609710192742992e-23
42,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,10,50,0.031198501534225397
43,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60,0,1.2509253448855664e-23
44,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60,25,2.6342586360898046e-23
45,45.77,7.29,0.26,0.5,0.0007,3.5,1.0,60,50,0.032351773730389395
46,45.77,7.29,0.26,0.5,0.0007,3.5,5.0,10,0,0.15325092138006477
47,45.77,7.29,0.26,0.5,0.0007,3.5,5.0,10,25,0.0649503127083214
48,30.928,7.955,0.42,0.5,0.006,14.0,5.5883,60,25,0.48778937717604803
49,46.35,8.09,0.40,0.5,0.006,14.0,4.72,60,25,0.1828676388610908
50,36.9235,7.443,0.42,0.5,0.006,14.0,4.110,60,25,0.19623906897753346
51,27.5727,8.1029,0.44,0.25,0.006,14.0,2.77,60,25,0.15211394913164017
52,50.5758,6.84,0.42,0.5,0.006,14.0,4.842,60,25,0.2084463867438343
53,30.3477,6.1498,0.12,0.25,0.006,14.0,1.5238,10,0,0.20030383192044493
54,35.66948,9.7950,0.1877,0.5,0.0007,14.0,0.191,10,50,5.871702444920615e-06
55,30.9282,7.9553,0.1935,0.25,0.006,3.5,8.133,180,50,0.1826800950907791
56,28.2762,9.00380,0.437,0.5,0.006,14.0,6.373548,60,25,0.37623776952647664
57,31.1209,7.35795,0.414,0.5,0.006,14.0,6.787258,60,25,0.396284510852794
58,33.65365,6.92590,0.45,0.5,0.006,14.0,7.068255,60,25,0.4652982533431578
59,30.59370,8.89690,0.427,0.5,0.006,14.0,6.656585,60,25,0.345005915769089
60,29.52890,8.73680,0.465,0.5,0.006,14.0,6.533683,60,25,0.355732449970291
61,28.2762,9.0038,0.3407,0.5,0.006,3.5,0.5088,180.0,25,0.5291617325972524
62,31.1209,7.35795,0.40,0.25,0.006,3.5,9.1994,60,50, 0.1037083427320645
63,33.65365,6.9259,0.2559,0.25,0.006,3.5,8.2027,60,0,0.2242406285380507
64,30.59370,8.89690,0.3130,0.25,0.006,3.5,6.8903,10,50,0.321691581148864
