Sample ID, Description, Type
NPL-4-2.5-Ag-5-31-22, , Sample
NPL-4-5.0-Ag-5-31-22, , Sample
NPL-4-10.0-Ag-5-31-22, , Sample
NPL-4-1.25-Ag-5-31-22, , Sample
